User_ID,Session_ID,Timestamp,Event,Device,Region,Channel,Product_category,Revenue
USR00001,SESS3e5852bc,2026-03-12 04:49:51,Browse,Desktop,North,Google Ads,Sports,0.0
USR00001,SESS3e5852bc,2026-03-12 04:52:51,Add to Cart,Desktop,North,Google Ads,Sports,0.0
USR00001,SESS3e5852bc,2026-03-12 04:57:51,Checkout,Desktop,North,Google Ads,Sports,0.0
USR00001,SESS3e5852bc,2026-03-12 04:59:51,Purchase,Desktop,North,Google Ads,Sports,1312.57
USR00002,SESS6b780e87,2026-04-07 14:53:34,Browse,Laptop,South,Google Ads,Sports,0.0
USR00003,SESS0e602005,2026-03-16 23:05:06,Browse,Desktop,North,Email,Fashion,0.0
USR00003,SESS0e602005,2026-03-16 23:07:06,Add to Cart,Desktop,North,Email,Fashion,0.0
USR00003,SESS0e602005,2026-03-16 23:12:06,Checkout,Desktop,North,Email,Fashion,0.0
USR00004,SESSf3512720,2026-04-04 08:13:15,Browse,Mobile,West,Google Ads,Electronics,0.0
USR00004,SESSf3512720,2026-04-04 08:17:15,Add to Cart,Mobile,West,Google Ads,Electronics,0.0
USR00004,SESSf3512720,2026-04-04 08:22:15,Checkout,Mobile,West,Google Ads,Electronics,0.0
USR00005,SESSc5177d03,2026-04-07 02:14:37,Browse,Desktop,West,Google Ads,Fashion,0.0
USR00005,SESSc5177d03,2026-04-07 02:17:37,Add to Cart,Desktop,West,Google Ads,Fashion,0.0
USR00005,SESSc5177d03,2026-04-07 02:22:37,Checkout,Desktop,West,Google Ads,Fashion,0.0
USR00006,SESS1ccba163,2026-03-26 23:11:56,Browse,Laptop,South,Email,Fashion,0.0
USR00006,SESS1ccba163,2026-03-26 23:13:56,Add to Cart,Laptop,South,Email,Fashion,0.0
USR00006,SESS1ccba163,2026-03-26 23:15:56,Checkout,Laptop,South,Email,Fashion,0.0
USR00006,SESS1ccba163,2026-03-26 23:17:56,Purchase,Laptop,South,Email,Fashion,814.04
USR00007,SESS815d3399,2026-04-06 06:12:11,Browse,Desktop,West,Organic,Home,0.0
USR00007,SESS815d3399,2026-04-06 06:17:11,Add to Cart,Desktop,West,Organic,Home,0.0
USR00007,SESS815d3399,2026-04-06 06:19:11,Checkout,Desktop,West,Organic,Home,0.0
USR00008,SESS094e7a97,2026-03-30 19:57:29,Browse,Laptop,North,Email,Electronics,0.0
USR00008,SESS094e7a97,2026-03-30 20:01:29,Add to Cart,Laptop,North,Email,Electronics,0.0
USR00008,SESS094e7a97,2026-03-30 20:03:29,Checkout,Laptop,North,Email,Electronics,0.0
USR00008,SESS094e7a97,2026-03-30 20:05:29,Purchase,Laptop,North,Email,Electronics,876.96
